text,label
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,0
kids are talking by the door,0
dogs are sitting by the door,0
dogs are sitting by the door,0
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,0
kids are talking by the door,0
dogs are sitting by the door,0
dogs are sitting by the door,0
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,0
kids are talking by the door,0
dogs are sitting by the door,0
dogs are sitting by the door,0
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,0
kids are talking by the door,0
dogs are sitting by the door,0
dogs are sitting by the door,0
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,1
kids are talking by the door,1
dogs are sitting by the door,1
dogs are sitting by the door,1
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,2
kids are talking by the door,2
dogs are sitting by the door,2
dogs are sitting by the door,2
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,3
kids are talking by the door,3
dogs are sitting by the door,3
dogs are sitting by the door,3
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,4
kids are talking by the door,4
dogs are sitting by the door,4
dogs are sitting by the door,4
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,5
kids are talking by the door,5
dogs are sitting by the door,5
dogs are sitting by the door,5
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,6
kids are talking by the door,6
dogs are sitting by the door,6
dogs are sitting by the door,6
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
kids are talking by the door,7
kids are talking by the door,7
dogs are sitting by the door,7
dogs are sitting by the door,7
